# Synonym groups for interactive-fiction verbs.  GENERATED; do not hand-edit.
#
# Regenerate with `verb-synonyms-gen` — see crates/verb-synonyms-gen/README.md.
# Derived from WordNet 3.0 (Princeton University) and the 12dicts 6.0.2
# lemmatized frequency list (Alan Beale, under the AGID terms).  The notices
# both licences require are in THIRD-PARTY-NOTICES.md at the repository root.
#
# FORMAT: one group per line, members separated by TABS.  There is no key
# column — every member is equal, and a word may appear in SEVERAL groups, one
# per sense.  A tab is the separator because a member may itself contain a
# space (`turn on`), and no dictionary word contains a tab.
#
# A group is one of two things, and neither is ever merged with the other:
#
#   * ONE VERB ENTRY some stories declare — the spellings a game's own author
#     wrote on a single verb, which is that author saying these words are one
#     action.  Believed only where several stories agree, and greppable in
#     crates/verb-synonyms-gen/if_groups.tsv, which is where a row's provenance
#     can be looked up: this file is members and nothing else.
#   * ONE WORDNET SYNSET, filtered to words a player might type, plus — where a
#     synset no story could match has a hypernym that one can — that synset
#     unioned with its immediate hypernym.  Exactly one hop, never chained.
#
# WHERE THE TWO DISAGREE, THE GAMES WIN.  A game-derived group comes before
# every synset containing the same word, because a game author writing
# `Verb 'examine' 'x' 'inspect'` has stated what a word means IN A PARSER, and
# that is the only question this table asks.  WordNet is not overruled, only
# outranked: its groups still follow, and reach a story that implements a word
# no game in the corpus grouped.
#
# AT LOOKUP, two rules define what this data means:
#   1. Lemmatise the player's word FIRST.  Members are base forms, because an IF
#      parser accepts the imperative; `illuminated` never arrives here, and if
#      the consumer skips this step a miss looks like a hole in the data instead
#      of a missing step in the caller.
#   2. Intersect the group with THIS story's dictionary and show only what
#      survives, then drop the word the player actually typed — it is in the
#      group by construction and it is the one word known to have failed.
#
# LINE ORDER IS SIGNIFICANT — DO NOT SORT THIS FILE.  The groups containing any
# given word appear best-guess first: that word's game-derived groups, then its
# synsets in WordNet's own sense order, commonest sense first.  A consumer can
# therefore walk them and stop after three or four dictionary matches.  Sorting
# the file alphabetically destroys that signal silently.  Member order within a
# line is significant too: verbs the corpus actually uses come first, commonest
# first.
#
# Built with: sense-cap 6 band-cap 16 group-cap 12 hyponym-cap 25 gap-fill true
#             game-support 2 game-group-cap 13
# From 15454 harvested IF spellings, 2467 of which WordNet knows as verbs.
# 3467 groups, 12298 memberships.
accuse	impeach	incriminate
admire	look up to
agitate	foment	stir up
anger	see red
apologise	apologize
ask	tell
ask	question	inquire
ask	quiz
ask	question	inquire	consul
ask	query	consul
ask	question	query	quiz	interrogate
ask for	invite
attend	go to
attend to	take to heart
bail out	bale out
bake	broil
banquet	feast
barf	chomp	lose
bargain	dicker
batter	buffet	knock about
batter	baste	clobber
battle	combat
bay	quest
beat	jack	jerk
beat about	cast about	cast around
behead	decapitate
bellow	bawl
belt	belt out
bend	spread
betray	fail
black	blacken
board	embark
board	mount
board	ride	mount
body	personify
boil	churn	roil
brace	nerve	poise	steel
break	smash	attack	destroy	fight	kill	hit	murder	wreck	punch	crack	thump	torture
attack	fight	hit	hurt	injure
attack	fight	hurt	injure	assault
break	smash	destroy	damage	block
break off	break short	cut short
break out	break away
brief	normal
buckle	unbuckle
buckle	clasp
bug	badger	pester	tease	beleaguer
bur	burr
burn	light
burn	ignite
burn up	blaze up	flame up	flare
burn up	burn off
burp	fart
burrow	tunnel
bury	plant
bury	inter	lay to rest
buy	purchase
buy	purchase	order
bye	goodbye	farewell
call at	out in
carve	chip at
carve	cut up
cash	cash in
catch	trap
challenge	dispute
chant	intone	tone
check in	sign in
cheer	comfort	entertain
chirp	peep
chomp	champ
choose	select	click
chuckle	chortle
clap	applaud
clean	wipe	polish	sweep	shine	scrub	rub	dust
clean	wipe	wash
clean	sweep	brush
clean	wipe	brush
clean	wash	tidy
clear off	clear away
climb	scale
cloak	mask
cloud	overcast
cloud	obscure	fog	haze over	mist
cock	prance	strut	ruffle	swagger
come around	come round
come around	roll around
command	general
command	officer
consider	contemplate
consult	confer with
cool	chill	cool down	ice
copy	imitate	model	pattern	simulate
copy	replicate
cork	uncork
cork	cork up
count	tally
cower	huddle
crack	snap	whip
crack down	clamp down
crank	zigzag
crank	crank up
create	develop
creep in	sneak in
creep up	sneak up
crow	gloat	triumph
crunch	crackle
cry	sob	frown	grimace	sniffle	scowl
cry for	cry out for
cuddle	snuggle	nuzzle	draw close	nest	nestle
cuff	handcuff
cut	slice	chop	prune
cut	slice	pierce
cut	slice	chop	prune	slash	split
cut	chop	hack
dam	dam up
dance	trip the light fantastic	trip the light fantastic toe
darn	bother
date	date stamp
debark	disembark
debark	disembark	dismount
decode	decipher
deep-six	give it the deep six
derive	deduce	deduct	infer
derive	gain
desist	refrain	abstain
despise	disdain	scorn
did	how	when	why
diffuse	spread out	fan out
dig in	entrench
dig in	pitch in
dip	dunk
disk	harrow
distance	outstrip
divert	deviate
doff	shed	disrobe
douse	snuff	quench	extinguish
deactivate	extinguish
disable	deactivate
disable	handicap	incapacitate	invalid
douse	smother	extinguish
drag down	bear down	bear down on	press down on	weigh down
charge	bear down
accuse	charge	blame	fault
drag on	drag out
drag up	dredge up
drench	swamp
dribble	filter	trickle
drill	bore
drink	sip	swallow
drink	swallow	imbibe
drink	sip	imbibe	guzzle	quaff	swill
drip	dribble
drive	banish	exorcise	cast
drive around	chauffeur
drop	discard	throw
drop	dump
drop	release
drop in	drop by	come by
drug	dose
dry out	run dry
dry	dry out
dummy	idiot	stupid
dummy	dummy up
eat	gobble	devour	ingest
eat	consume	gobble	devour	ingest	swallow	nibble
drink	sip	swallow	imbibe	guzzle	quaff	swill
edit	edit out
ejaculate	blunder	blunder out	blurt	blurt out
embrace	hug	kiss
enter	cross
cross	ford
cross	traverse
entertain	host
escape	flee
eschew	shun
banish	cast out	shun	ban	ostracize
examine	describe	watch	check
check	test	analyse	dust
examine	describe	what
excuse	pardon
execute	put to death
exit	out	leave
explode	detonate
eye	eyeball
face off	bully off
faint	swoon	pass out
fall asleep	drop off	dope off	doze off	drift off	flake out	nod off
fart	break wind
fasten	tie	attach
fasten	tie	attach	secure
fax	facsimile
fear	dread
feed on	feed upon
feel	touch
feel	touch	pet	pat	rub
feel	touch	fondle	grope
fetter	shackle
fill	flood
fin	break water
find	seek
find	seek	see	where
find	seek	discover
find	where	seen	there
fire	shoo
flatten	flatten out
flood	deluge	inundate	swamp
flush	blush	crimson	redden
flush down	wash down
fly	flap	wing
fly by	whisk by	zip by
focus on	center	revolve around	center on	concentrate on	revolve about
focus	center	centre	concentrate	pore	rivet
follow	chase	pursue
follow	chase	pursue	come
follow	chase	pursue	trace
find	seek	follow
find	seek	locate
follow	fall out
follow	travel along
follow	abide by	comply
follow	come after
foot	hoof	hoof it	leg it
foot	foot up
footnote	annotate
force out	depose
forward	send on
fret	fuss
fret	gall	chafe
fret	eat into	grate
fuck off	loaf	arse about	arse around	bum	bum about	bum around	loll	loll around	lounge about	lounge around
gab	yak
gag	choke	fret
choke	scrag
gag	muzzle
gag	quip
gall	irk
garble	warp	distort	falsify
gawk	gape	goggle
gel	mousse
get back	win back
get back	get even
get down	lower	take down	bring down	let down
get into	tangle with
get to	progress to
giggle	titter
give	offer	feed	pay
give	offer	feed	hand	donate
drop	put	give
give	offer	hand	donate	sell
give off	give out	emit
